time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
16.514,500,0.340560995848518,9.53019426820656,0.793205307590786,0.839516338996005,-2.39772215595748,-2.46368268149862,68.3949025953488,-3.01160241694939,0.792331794201685,1.09671089884609,-0.773158907014328,-0.560180462873316,energy,0.513452454302732,4.16666666666667
16.516,500,0.338517629776372,9.51868034389579,0.791930244768359,0.83853644434491,-2.39613574526694,-2.46200560853027,68.4032296354096,-3.01192622996283,0.79101602690184,1.09541982082554,-0.77195817704307,-0.559537595230893,energy,0.513452454302732,4.16666666666667
16.518,500,0.336486523901241,9.50715603045267,0.790658031158888,0.837556328327549,-2.39455188470218,-2.46033049579405,68.4115566833756,-3.01224983962297,0.78970341635453,1.09412823191442,-0.770759913600345,-0.558894801584797,energy,0.513452454302732,4.16666666666667
16.52,500,0.33446760466194,9.49562121385397,0.789388692515356,0.836575963644328,-2.39297056856475,-2.45865734378729,68.4198837392301,-3.01257324623661,0.788393985902465,1.09283610196351,-0.769564144170203,-0.558252058205067,energy,0.513452454302732,4.16666666666667
16.522,500,0.332460798938651,9.48407570132314,0.788122253322478,0.835595323712888,-2.39139179110473,-2.45698615306049,68.4282108029561,-3.01289645011154,0.78708775764923,1.09154339931451,-0.768370894972728,-0.557609344286349,energy,0.513452454302732,4.16666666666667
16.524,500,0.330466034050272,9.47251942500711,0.786858738275678,0.834614382363232,-2.38981554652322,-2.45531692421648,68.4365378745367,-3.01321945155653,0.785784753918695,1.09025009623254,-0.767180192423586,-0.556966635913742,energy,0.513452454302732,4.16666666666667
16.526,500,0.328483237751793,9.46095231481753,0.7855981714133,0.833633114257955,-2.38824182897192,-2.45364965790877,68.4448649539549,-3.01354225088129,0.784484996398589,1.08895616574141,-0.765992062277752,-0.556323910056879,energy,0.513452454302732,4.16666666666667
16.528,500,0.32651233823167,9.44937430044977,0.78434057611858,0.832651494850388,-2.38667063255447,-2.45198435483997,68.4531920411938,-3.01386484839645,0.783188506142371,1.08766158163913,-0.76480652963153,-0.55568114447179,energy,0.513452454302732,4.16666666666667
16.53,500,0.324553264109229,9.43778531297805,0.783085975121707,0.831669500351504,-2.38510195132772,-2.45032101576027,68.4615191362364,-3.01418724441352,0.781895303571197,1.0863663185102,-0.76362361892466,-0.555038317623342,energy,0.513452454302732,4.16666666666667
16.532,500,0.32260594443208,9.42618528610957,0.781834390501988,0.830687107703767,-2.38353577930309,-2.44865964146595,68.4698462390659,-3.01450943924491,0.780605408475977,1.08507035173505,-0.762443353942526,-0.554395408624136,energy,0.513452454302732,4.16666666666667
