time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
5.448,500,-360,0,0,-30.8071472581615,0,2.73923603528571,18.9512653919223,9.9238701490723,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.45,500,-360,0,0,-30.8071472581616,0,2.67762173784286,18.9595525819591,9.92299440234256,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.452,500,-360,0,0,-30.8071472581617,0,2.61600744040002,18.9678388254505,9.92210974430583,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.454,500,-360,0,0,-30.8071472581617,0,2.55439314295717,18.9761241128142,9.92121617598514,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.456,500,-360,0,0,-30.8071472581618,0,2.49277884551433,18.9844084344686,9.92031369841385,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.458,500,-360,0,0,-30.8071472581619,0,2.43116454807148,18.9926917808337,9.9194023126356,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.46,500,-360,0,0,-30.807147258162,0,2.36955025062863,19.0009741423304,9.91848201970433,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.462,500,-360,0,0,-30.8071472581621,0,2.30793595318579,19.0092555093808,9.91755282068431,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.464,500,-360,0,0,-30.8071472581622,0,2.24632165574294,19.017535872408,9.91661471665007,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.466,500,-360,0,0,-30.8071472581622,0,2.18470735830009,19.0258152218364,9.91566770868647,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.468,500,-360,0,0,-30.8071472581623,0,2.12309306085725,19.0340935480916,9.91471179788866,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.47,500,-360,0,0,-30.8071472581624,0,2.0614787634144,19.0423708416004,9.91374698536206,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.472,500,-360,0,0,-30.8071472581624,0,1.99986446597155,19.0506470927906,9.91277327222242,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.474,500,-360,0,0,-30.8071472581625,0,1.93825016852871,19.0589222920913,9.91179065959577,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
