time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,thetaError
1.39,600,NaN,NaN,NaN,0,NaN,0,5.28554675685882,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.4,600,NaN,NaN,NaN,0,NaN,0,5.32210925604159,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.41,600,NaN,NaN,NaN,0,NaN,0,5.35867175522435,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.42,600,NaN,NaN,NaN,0,NaN,0,5.39523425440711,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.43,600,NaN,NaN,NaN,0,NaN,0,5.43179675358988,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.44,600,NaN,NaN,NaN,0,NaN,0,5.46835925277264,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.65625,NaN
1.45,600,NaN,NaN,NaN,0,NaN,0,5.50492175195541,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6484375,NaN
1.46,600,NaN,NaN,NaN,0,NaN,0,5.54140612613992,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6484375,NaN
1.47,600,NaN,NaN,NaN,0,NaN,0,5.57789050032443,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6484375,NaN
1.48,600,NaN,NaN,NaN,0,NaN,0,5.61437487450894,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6484375,NaN
1.49,600,NaN,NaN,NaN,0,NaN,0,5.65085924869345,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6484375,NaN
1.5,600,NaN,NaN,NaN,0,NaN,0,5.68734362287796,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.51,600,NaN,NaN,NaN,0,NaN,0,5.72367174706596,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.52,600,NaN,NaN,NaN,0,NaN,0,5.75999987125397,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.53,600,NaN,NaN,NaN,0,NaN,0,5.79632799544197,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.54,600,NaN,NaN,NaN,0,NaN,0,5.83265611962997,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.55,600,NaN,NaN,NaN,0,NaN,0,5.86898424381798,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.56,600,NaN,NaN,NaN,0,NaN,0,5.90531236800598,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.57,600,NaN,NaN,NaN,0,NaN,0,5.94164049219398,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.58,600,NaN,NaN,NaN,0,NaN,0,5.97796861638199,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.59,600,NaN,NaN,NaN,0,NaN,0,6.01429674056999,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.6,600,NaN,NaN,NaN,0,NaN,0,6.05062486475799,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.61,600,NaN,NaN,NaN,0,NaN,0,6.086952988946,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.62,600,NaN,NaN,NaN,0,NaN,0,6.123281113134,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
