time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,hat_vm,delta_vm
29.34,600,-2.64493595683227E-09,-0.778613113215594,-0.106360306032071,0.0225137247038742,339.989513546009,339.533302675482,214.69809777145,-114.188212583319,-0.0524788692633295,-0.0327259063275376,0.0524788689655205,-0.0549427437190463,3133.6234584207,2.05380981721093,5.4155555586848,0,0
29.35,600,-2.56558787990086E-09,-0.582693579715724,-1.59963229885672,0.00383762028411156,339.986888154418,339.533341051684,214.748835915893,-114.207145749148,-0.78926901576382,-0.0309109492981508,0.789269015474945,-0.0346979630839146,3133.62345966302,2.05380981721093,5.4155555586848,0,0
29.36,600,-2.4886202452242E-09,-0.327847416477179,-0.0778033128035455,-0.00809258866781189,339.969339162354,339.533260125799,214.799572724026,-114.226082495708,-0.0383886624297254,-0.0224500747458933,0.038388662149517,-0.014464202622379,3133.62345818905,2.05380981721093,5.4155555586848,0,0
29.37,600,-2.41396163953622E-09,-0.257906200404974,-1.0553693042302,-0.0131925216810683,339.967068259845,339.533128200585,214.850308936554,-114.245020837983,-0.520726102290764,-0.0210288676308924,0.520726102018961,-0.00801031504453109,3133.62345629881,2.05380981721093,5.4155555586848,0,0
29.38,600,-2.34154279196882E-09,-0.114136244733313,-0.689434331472534,-0.0161307504861868,339.955029020198,339.532966893084,214.901044793113,-114.26396013388,-0.340171398599111,-0.0143846545859987,0.340171398335463,0.00153338053561499,3133.62345527598,2.05380981721093,5.4155555586848,0,0
29.39,600,-2.27129650977989E-09,-0.915594585372428,5.98651372013645,-0.0158121795397259,339.946689793012,339.532808771292,214.951780629565,-114.282899483638,2.95378493798635,-0.0593479341817771,-2.95378493824209,-0.043744269028184,3133.62344723289,2.05380981721093,5.4155555586848,0,0
29.4,600,-2.20315761600951E-09,0.416576877532906,-12.3835240568563,-0.0311227326899096,340.005138051978,339.532497543972,215.00251488582,-114.301843065985,-6.11011158591749,0.0080962663580288,6.11011158566942,0.0388085851966849,3133.62345443569,2.05380981721093,5.4155555586848,0,0
29.41,600,-2.13706288900656E-09,-0.355512463677131,6.47142961763745,-0.01812990795543,339.879684780538,339.532316244897,215.053250424355,-114.320783213803,3.19304560643149,-0.0289600391342421,-3.19304560667212,-0.0110692093285682,3133.6234508549,2.05380981721093,5.4155555586848,0,0
29.42,600,-2.07295100376938E-09,0.289480447397745,-6.50341149693522,-0.0221888435398315,339.943209896671,339.532094356466,215.10398549473,-114.339724615647,-3.20882567463103,0.00534903662483966,3.20882567439762,0.0272452770432559,3133.62345442337,2.05380981721093,5.4155555586848,0,0
29.43,600,-2.01076247504632E-09,0.793323791105288,12.5697370066023,-0.0130717643842859,339.876768373585,339.531963638825,215.154721422157,-114.358663721696,6.20199027032963,0.0382128122316251,-6.20199027055604,0.0511121999413727,3133.62346018455,2.05380981721093,5.4155555586848,0,0
29.44,600,-1.95043960214325E-09,0.0235958143471872,-1.69449291133311,0.00440517464167761,340.00128533914,339.532007690571,215.20545901307,-114.377598370838,-0.836073860995063,0.00350193798122005,0.836073860775451,-0.000845145852425107,3133.6234601268,2.05380981721093,5.4155555586848,0,0
29.45,600,-1.89192641538682E-09,-1.43971339989445,-2.79976420501796,0.00417095249388598,339.982733889151,339.532049400095,215.256196463307,-114.396533396935,-1.38142193040903,-0.0789949431947044,1.381421930196,-0.0831108935557936,3133.6234634629,2.05380981721093,5.4155555586848,0,0
29.46,600,-1.83516862419385E-09,0.872939137242292,4.46660003734783,-0.0244707250383627,339.953193378142,339.53180469285,215.306930964384,-114.41547632359,2.20384960781134,0.0370706717273384,-2.20384960801798,0.0612187025920878,3133.62347533037,2.05380981721093,5.4155555586848,0,0
29.47,600,-1.78011356669861E-09,-0.756915675418397,-2.51381904589328,-0.00365326506017697,339.996416798946,339.5317681602,215.357667541928,-114.434413687951,-1.24033472278335,-0.0444153484963441,1.24033472258292,-0.040810258851801,3133.62347379414,2.05380981721093,5.4155555586848,0,0
29.48,600,-1.72671016089131E-09,1.07918733382146,-1.36857699789137,-0.0177918277595222,339.969687934709,339.531590241926,215.408402641398,-114.453355011864,-0.675264822329834,0.0519774346602985,0.675264822135413,0.0695346425159589,3133.62348446121,2.05380981721093,5.4155555586848,0,0
29.49,600,-1.67490885722242E-09,-0.329627398559571,-0.631142674370348,0.0059842368610795,339.954502384986,339.531650084294,215.459140090543,-114.472290040887,-0.311409914530065,-0.0156046865120587,0.311409914341477,-0.0215100095540517,3133.62348555708,2.05380981721093,5.4155555586848,0,0
29.5,600,-1.62466159262887E-09,0.0618347289927369,1.61935742805646,-0.00136442584398894,339.946743369284,339.531636440036,215.509876717813,-114.491227272021,0.799001523003273,0.0028079520960855,-0.799001523186203,0.00415438532769812,3133.62348560395,2.05380981721093,5.4155555586848,0,0
29.51,600,-1.57592174593942E-09,-0.083727181311978,1.15520051674057,5.21475608343067E-05,339.961515869545,339.531636961511,215.560613436038,-114.51016425947,0.56998347382743,-0.00468793903281441,-0.569983474004872,-0.0047393989264863,3133.62348560638,2.05380981721093,5.4155555586848,0,0
29.52,600,-1.52864409461797E-09,-0.0693914101582843,1.15520051674597,-0.00158357174654043,339.971596230525,339.531621125794,215.611349945621,-114.529101805909,0.569983473832753,-0.00468793903281441,-0.569983474004872,-0.00312524976422697,3133.62348554533,2.05380981721093,5.4155555586848,0,0
29.53,600,-1.48278477280447E-09,-0.0597527610522905,1.1552005167512,-0.00268334686645939,339.981642028268,339.531594292326,215.662086312573,-114.548039734474,0.569983473837916,-0.00468793903281441,-0.569983474004872,-0.00203997732140182,3133.62348545625,2.05380981721093,5.4155555586848,0,0
29.54,600,-1.43830123061462E-09,-0.33946923034906,0.286170285484858,-0.00342278015977544,339.991653343448,339.531560064525,215.712822580726,-114.566977927726,0.141198286353716,-0.020800245092028,-0.141198286515662,-0.017422600955537,3133.62348481073,2.05380981721093,5.4155555586848,0,0
29.55,600,-1.39515219466064E-09,-0.159293791166846,0.18559771962106,-0.00948313140186452,339.99293996668,339.531465233213,215.76355822424,-114.585917794334,0.091575126012128,-0.0136469534065403,-0.0915751261692164,-0.0042888755634156,3133.62348397151,2.05380981721093,5.4155555586848,0,0
29.56,600,-1.35329762975634E-09,0.828571989774574,-0.315010480609889,-0.0110879453631474,339.993216135016,339.531354353762,215.814293704575,-114.604858098051,-0.155428226999621,0.0411760429410958,0.155428226847245,0.0521177721475735,3133.62348907549,2.05380981721093,5.4155555586848,0,0
29.57,600,-1.31269870177111E-09,0.67213038507124,-0.212945666850212,0.00676212707764245,339.988484896445,339.531421975031,215.865030960928,-114.623793643664,-0.10506878180293,0.0411760429513554,0.105068781655125,0.0345030876904763,3133.62348655047,2.05380981721093,5.4155555586848,0,0
29.58,600,-1.27331774159821E-09,0.566946944514368,-0.144322436514645,0.0187636150324634,339.984790734366,339.531609611177,215.915769358292,-114.642726131687,-0.0712096321109465,0.0411760429613071,0.0712096319675761,0.0226598627407427,3133.62348064049,2.05380981721093,5.4155555586848,0,0
29.59,600,-1.23511821020409E-09,-1.21444123045133,-0.131203190070445,0.0268328099125577,339.981796093492,339.531877939271,215.966508488212,-114.661656656369,-0.0647365102956877,-0.0551310726782217,0.0647365101566185,-0.0816100397272401,3133.6234987443,2.05380981721093,5.4155555586848,0,0
29.6,600,-1.19806466472618E-09,2.97167158183481,-0.211873414046544,-0.000994412411626459,339.9789438155,339.531867995147,216.0172447755,-114.680594798361,-0.104539725265515,0.166808379648645,0.104539725130618,0.167789678795712,3133.62350038601,2.05380981721093,5.4155555586848,0,0
29.61,600,-1.16212272558776E-09,-1.13664051818027,-0.105251074702644,0.0569263479507734,339.975294565709,339.532437258613,216.067986868832,-114.699517378365,-0.051931567202954,-0.0359027037168807,0.0519315670721038,-0.0920783668890054,3133.62353633311,2.05380981721093,5.4155555586848,0,0
29.62,600,-1.12725904459939E-09,1.74196119926672,-0.14111847542608,0.0258780595139941,339.972725980911,339.532696039203,216.118725745208,-114.718448582605,-0.0696287767922488,0.110837254447104,0.069628776665324,0.0853004475529847,3133.62351128946,2.05380981721093,5.4155555586848,0,0
29.63,600,-1.09344127401729E-09,0.812425040222338,-0.093546425163179,0.0556685522469444,339.969808401294,339.533252724713,216.169467604846,-114.737371789264,-0.0461564167305792,0.0732050943028127,0.0461564166074622,0.0182706403482326,3133.62348616361,2.05380981721093,5.4155555586848,0,0
29.64,600,-1.06063803652998E-09,-1.38850316000282,0.100218514899035,0.0627046921463143,339.967378435939,339.53387977162,216.220210116762,-114.756293246773,0.0494484692277182,-0.0472309823369965,-0.0494484693471417,-0.109108790981408,3133.62353453343,2.05380981721093,5.4155555586848,0,0
29.65,600,-1.0288188961453E-09,-12.8441175035865,0.0632909478606082,0.025851743114185,339.966896585292,339.534138289046,216.270948931454,-114.775224616334,0.0312281666596823,-0.710342114187438,-0.0312281667755231,-0.735852951714738,3133.62371900166,2.05380981721093,5.4155555586848,0,0
29.66,600,-9.97954329950815E-10,1.38351432965932,0.0263834822105056,-0.227882721362432,339.966047993554,339.531859461883,216.321662516994,-114.794223466602,0.0130177822477755,-0.0345497961867529,-0.0130177823601411,0.190327847625442,3133.62389415666,2.05380981721093,5.4155555586848,0,0
29.67,600,-9.68015700721471E-10,-6.87714779407776,0.0146112446921526,-0.16514605995022,339.96482543091,339.53020800132,216.372383132956,-114.813203540002,0.00720928343108337,-0.468653492061687,-0.00720928354007798,-0.305685204582761,3133.62326319342,2.05380981721093,5.4155555586848,0,0
29.68,600,-9.38975230348932E-10,49.6116213810991,0.0797918957082622,-0.272850709902265,339.963483677609,339.527479494282,216.42309329395,-114.832211528895,0.0393698420196408,2.65840644418772,-0.0393698421253656,2.92765908602237,3133.63078350776,2.05380981721093,5.4155555586848,0,0
29.69,600,-9.10805974068096E-10,-11.8748245881109,-0.00279696854484822,0.734433063474259,339.962788983402,339.534823824753,216.473903999876,-114.850949090987,-0.00138004258460651,-0.3061542587392,0.00138004248205349,-1.0309023917457,3133.6356286542,2.05380981721093,5.4155555586848,0,0
29.7,600,-8.83481795456796E-10,-101.079794178417,-0.0707889435567321,0.388087993341543,339.961295921302,339.5387047046,216.524678077802,-114.869785679866,-0.0349277267764928,-5.49910042732574,0.0349277266770164,-5.8820707245588,3133.65742190621,2.05380981721093,5.4155555586848,0,0
29.71,600,-8.56977342185513E-10,65.3990179859954,0.0201908321443782,-1.63777696521193,339.959141336575,339.522326935314,216.575247679747,-114.889164519584,0.00996228829921926,2.87374104578834,-0.0099622883957114,4.48992073165839,3133.71692690777,2.05380981721093,5.4155555586848,0,0
