time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,velocity,b
18.72061,500,-115.7,-93.3852079708154,-8.15453789485629,-5.65918635323131,-56.963575081019,-56.5493343256144,51.7777949571833,-21.2586961473242,-10.5371754615125,-8.04780891007922,-2.4901710321769,-2.46698332519352,133.048052114584,2.05380981721093,3.1953125
18.72929,500,-115.7,-93.3852079708154,-8.15453789485629,-5.65918635323131,-56.963575081019,-56.5493343256144,51.7777949571833,-21.2586961473242,-10.5371754615125,-8.04780891007922,-2.4901710321769,-2.46698332519352,133.048052114584,2.05380981721093,3.1953125
18.73791,500,-115.7,-93.5271571447736,-8.16293781182153,-5.6630138598649,-57.0278938331174,-56.6059644629473,51.7965613273464,-21.2845578081858,-10.5413200353619,-8.05766704477569,-2.48602645832754,-2.47310808655277,133.19666919558,2.05380981721093,3.1953125
18.74732,500,-115.7,-93.6980165328182,-8.14717366258904,-5.66690042936279,-57.0918700801121,-56.6626334659743,51.8153058517359,-21.3104353072349,-10.5335419012521,-8.06917459545029,-2.49380459243729,-2.48083860372395,133.34573157824,2.05380981721093,3.1953125
18.75588,500,-115.7,-93.827418260791,-8.5669794307697,-5.67082383094129,-57.1599184622401,-56.7193417030161,51.8340284666638,-21.3363286624035,-10.7406768069677,-8.07837730669901,-2.28666968672171,-2.48620599746386,133.509608829893,2.05380981721093,3.1953125
18.76494,500,-115.7,-93.9349712529987,-8.56803876794785,-5.67477230305649,-57.2278577211714,-56.7760894247783,51.8527291112874,-21.3622378893754,-10.7411994908447,-8.08636815202146,-2.28614700284467,-2.49032517889961,133.674147517361,2.05380981721093,3.1953125
18.77352,500,-115.7,-94.0641246096527,-8.56902950134375,-5.67864574783673,-57.2956557126611,-56.8328758809874,51.8713620000643,-21.3880996572077,-10.7416883251679,-8.09558742362853,-2.2856581685215,-2.49564804668713,133.839547550603,2.05380981721093,3.1875
18.78339,500,-115.7,-94.0381336894974,-8.57006443782618,-5.68247449822499,-57.3635347600707,-56.8897006246995,51.8899728119046,-21.4139773167276,-10.7421989695824,-8.09603537094122,-2.28514752410697,-2.4922736281337,134.004396047213,2.05380981721093,3.1875
18.7909,500,-115.7,-94.0039128710634,-8.57027344340229,-5.68625459319745,-57.4314964267321,-56.9465631693605,51.9085615039391,-21.4398708701342,-10.7423020942977,-8.09599793931672,-2.28504439939173,-2.48845793565243,134.168593793854,2.05380981721093,3.1875
18.79984,500,-115.7,-94.0039128710634,-8.57027344340229,-5.68625459319745,-57.4314964267321,-56.9465631693605,51.9085615039391,-21.4398708701342,-10.7423020942977,-8.09599793931672,-2.28504439939173,-2.48845793565243,134.168593793854,2.05380981721093,3.1875
18.80835,500,-115.7,-95.8451819881676,-8.57117950306935,-5.69097074571257,-57.4968730802788,-57.0034728755456,51.9271278082981,-21.4657804807456,-10.7427491500504,-8.20152274640914,-2.28459734363896,-2.59025249568746,134.349356217299,2.05380981721093,3.1875
18.81749,500,-115.7,-94.5105805602474,-8.57210312055412,-5.69494864315477,-57.5641824825025,-57.0604223607042,51.9456718402437,-21.4917060368395,-10.743204868945,-8.12871439739788,-2.28414162474435,-2.51279018581809,134.517645923716,2.05380981721093,3.1875
18.8261,500,-115.7,-94.6163315545624,-8.57914763954589,-5.69895015158357,-57.631440438278,-57.1174118609462,51.964193540819,-21.5176475515868,-10.7466806805888,-8.13663068254113,-2.28066581310057,-2.51678102984505,134.686819683165,2.05380981721093,3.1875
18.8351,500,-115.7,-94.7245578595242,-8.57991501478045,-5.70297638083929,-57.6985796798393,-57.1744416234799,51.9826928509577,-21.5436050380593,-10.7470593085375,-8.14469797242353,-2.28028718515187,-2.5208995789814,134.856692717314,2.05380981721093,3.1875
18.84424,500,-115.7,-94.8354886505842,-8.51366340086194,-5.70702855214395,-57.7649255434268,-57.2315119077257,52.0011697114558,-21.5695785092504,-10.7143703298654,-8.15292971675649,-2.31297616382404,-2.52515818773365,135.024995531239,2.05380981721093,3.1875
18.8527,500,-115.7,-94.8848315691564,-8.51626813001482,-5.71107413404467,-57.8312576551496,-57.2886226477897,52.0196240707109,-21.5955679725781,-10.7156555202281,-8.15770698986989,-2.31169097346129,-2.52593672531385,135.193493956494,2.05380981721093,3.1875
18.86126,500,-115.7,-94.9917449211725,-8.88285005807868,-5.71514339435108,-57.9011333348953,-57.3457740804557,52.0380558703149,-21.6215734401367,-10.8965294358859,-8.16572210932677,-2.13081705780354,-2.52995961174734,135.375232301351,2.05380981721093,3.1875
18.8704,500,-115.7,-94.9592906080398,-8.87889822140642,-5.7191629981952,-57.9710243728702,-57.4029657091594,52.0564650688373,-21.6475949118349,-10.8945795738817,-8.1659027974992,-2.13276691980772,-2.52612470073658,135.556384906031,2.05380981721093,3.1875
