time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
19.846,500,-360,-133.249823528374,-12.2351343242643,-10.6354389412388,2.88908270417837,6.00757184306723,80.767560869677,-0.0263749776830199,-22.2074219184934,-14.2460361630611,1.94015857481072,6.74434376320334,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.848,500,-360,-133.614679740154,-12.2594615063596,-10.6668182661416,2.86461243436757,5.98623820552165,80.7758834752417,-0.0259522630552226,-22.2314282993084,-14.2872720195094,1.96416495562569,6.76503896152187,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.85,500,-360,-133.97914124243,-12.2837221167304,-10.6981911879606,2.84009351019026,5.96484182212946,80.7842063031216,-0.0255339484346118,-22.2553689862767,-14.3284904466424,1.98810564259403,6.78573895186241,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.852,500,-360,-134.343197127787,-12.3079170533372,-10.7295565874477,2.81552606478991,5.94338270793531,80.7925293514148,-0.0251200424662275,-22.2792448655177,-14.3696900329388,2.01198152183495,6.80644293676897,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.854,500,-360,-134.706836511945,-12.3320472092423,-10.7609133529534,2.79091022951405,5.92186088020717,80.800852618203,-0.0247105537439683,-22.3030568183165,-14.4108693750271,2.03579347463376,6.82715012563257,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.856,500,-360,-135.070048561179,-12.3561134725715,-10.7922603801968,2.76624613392408,5.90027635842157,80.809176101552,-0.0243054908107729,-22.3268057210875,-14.45202707823,2.05954237740477,6.84785973369273,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.858,500,-360,-135.432822515202,-12.380116726478,-10.8235965721414,2.74153390580517,5.8786291642491,80.8174997995117,-0.0239048621587878,-22.3504924453378,-14.4931617570867,2.0832291016551,6.8685709812705,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.86,500,-360,-135.795147706256,-12.4040578491067,-10.8549208389557,2.71677367117617,5.85691932154003,80.8258237101162,-0.0235086762295242,-22.3741178576322,-14.5342720358508,2.10685451394947,6.88928309319254,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.862,500,-360,-136.157013574982,-12.4279377135589,-10.8862320980425,2.69196555429963,5.83514685630981,80.8341478313837,-0.0231169414140092,-22.3976828195586,-14.5753565489661,2.13041947587584,6.90999529837288,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.864,500,-360,-136.518409683627,-12.4517571878591,-10.9175292741223,2.66710967769192,5.81331179672445,80.8424721613168,-0.0227296660529358,-22.4211881876946,-14.6164139415206,2.15392484401185,6.93070682952383,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
