time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
1.291099,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,64,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,355.5347,19.52293,1.660996
1.302988,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,69,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,354.3762,19.63476,1.947217
1.312992,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,69,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,353.7295,19.62147,2.058408
1.324895,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,88,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,352.9872,19.91873,2.30082
1.336722,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,97,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,352.3464,20.12215,2.571692
1.346908,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,97,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.9853,20.15568,2.788462
1.358394,34.7748,135.3757,275.93,0,0.06,-3.9,25,5.626,97,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.6524,19.92768,2.992646
1.370478,34.7748,135.3757,275.93,0,0.06,-3.9,25,5.626,97,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.5164,19.66272,3.28643
1.380964,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,55,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.5813,19.5298,3.563651
1.391399,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,68,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.6995,19.37549,3.755354
1.403275,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,68,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.9784,19.24303,3.904289
1.413403,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,68,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.4257,19.07678,4.000099
1.424782,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,68,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.9816,18.94033,4.092475
1.436542,34.7748,135.3757,275.93,0,-0.02,-3.9,24.4,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,353.4946,18.75992,4.188259
1.446259,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,354.2798,18.60065,4.398425
1.458778,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,355.2409,18.44857,4.780228
1.46927,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,356.1279,18.26769,5.353857
1.479856,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,91,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,357.0847,18.1057,5.898407
